Codigo da linha,Aceita cartao,Nome da linha,Cor que descreve a linha
150,S,C. MUSICA-V. ALEGRE,AMARELA
160,S,NULO,AMARELA
164,S,R.PRADO-C.GOMES,AMARELA
165,S,UNIVERSIDADES,AMARELA
166,S,V. NORI,AMARELA
167,S,FREDOLIN WOLF,AMARELA
168,S,RAPOSO TAVARES,AMARELA
169,S,JD. KOSMOS,AMARELA
170,S,NULO,AMARELA
171,S,PRIMAVERA,AMARELA
175,S,BOM RETIRO-PUC,AMARELA
176,S,PARQUE TANGUA,AMARELA
180,S,AGUA VERDE-ABRANCHES,AMARELA
181,S,MATEUS LEME,AMARELA
182,N,ABRANCHES,AMARELA
183,S,JD. CHAPARRAL,AMARELA
184,S,V. SUICA,AMARELA
201,N,NULO,AMARELA
205,N,BARREIRINHA,AMARELA
207,N,CABRAL-OSORIO,AMARELA
260,S,MAL. HERMES-STA. EFIGENIA,AMARELA
265,S,AHU-LOS ANGELES,AMARELA
266,S,ESTRIBO AHU,AMARELA
270,S,FERNANDO DE NORONHA,AMARELA
271,S,LARANJEIRAS,AMARELA
272,S,PAINEIRAS,AMARELA
274,S,STA. GEMA,AMARELA
275,N,F. NORONHA-LARANJEIRAS,AMARELA
280,S,NSA.SRA.DE NAZARE,AMARELA
360,S,NOVENA,AMARELA
361,S,AUGUSTO STRESSER,AMARELA
365,S,JD. SOCIAL-BATEL,AMARELA
366,S,ITUPAVA-HOSP. MILITAR,AMARELA
370,S,RUA XV-BARIGUI,AMARELA
371,F,HIGIENOPOLIS,AMARELA
372,N,TARUMA,AMARELA
373,N,ALTO TARUMA,AMARELA
374,N,HUGO LANGE,AMARELA
375,N,SAGRADO CORACAO,AMARELA
378,S,INTER-HOSPITAIS,AMARELA
380,S,DETRAN-VIC. MACHADO,AMARELA
385,S,CRISTO REI,AMARELA
386,S,CAJURU,AMARELA
387,S,PALOTINOS,AMARELA
393,S,C. IMBUIA-PQ. BARIGUI,AMARELA
461,S,STA. BARBARA,AMARELA
462,S,PETROPOLIS,AMARELA
463,S,SOLITUDE,AMARELA
464,S,A. MUNHOZ-J. BOTANICO,AMARELA
465,S,ERASTO  GAERTNER,AMARELA
466,S,ESTUDANTES,AMARELA
468,S,JD. CENTAURO,AMARELA
471,S,V. SAO PAULO,AMARELA
472,S,UBERABA,AMARELA
474,S,JD. ITIBERE,AMARELA
475,S,CANAL BELEM,AMARELA
477,S,NULO,AMARELA
560,S,ALFERES POLI,AMARELA
561,S,GUILHERMINA,AMARELA
594,N,NULO,AMARELA
661,S,LINDOIA,AMARELA
662,S,DOM ATICO,AMARELA
663,S,V. CUBAS,AMARELA
665,S,V. REX,AMARELA
666,S,NOVO MUNDO,AMARELA
670,S,SAO JORGE,AMARELA
671,S,PORTAO,AMARELA
673,S,FORMOSA,AMARELA
